Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0402,5,100n,
"C10, C9",0402,2,4p,
C11,0805,1,22uF,
C12,0402,1,10u,
C13,0402,1,10uF,
"C6, C7",0402,2,30p,
C8,0402,1,1u,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
R1,0402,1,10k,
R2,0402,1,220,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G473CCUx,
U2,SOT-223-3_TabPin2,1,AZ1117-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322524MSB4SI,
Y2,Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm,1,X161032768KJD2SI,
