Designator,Mid X,Mid Y,Rotation,Layer
C1,128.016,-59.182,270.0,top
C10,120.396,-70.374,180.0,top
C11,118.2895,-55.372,270.0,top
C12,122.936,-70.104,90.0,top
C13,126.9255,-61.214,90.0,top
C2,132.08,-73.406,0.0,top
C3,129.54,-81.28,270.0,top
C4,128.016,-81.28,270.0,top
C5,127.0,-81.28,270.0,top
C6,117.094,-73.152,180.0,top
C7,117.094,-78.74,180.0,top
C8,121.9105,-70.104,90.0,top
C9,118.364,-70.374,0.0,top
J1,132.588,-65.786,0.0,top
J2,137.16,-78.486,0.0,top
J3,114.3,-78.486,0.0,top
R1,124.9105,-70.104,270.0,top
R2,119.126,-78.74,0.0,top
U1,126.6105,-75.692,90.0,top
U2,122.8615,-57.887,90.0,top
Y1,118.11,-75.946,90.0,top
Y2,119.4105,-72.174,0.0,top
